| 100k    | LEA25  | 29463-7 | 13.6 kg |   10 k |     0.28 |  0.010 | 356.9 k |
| 100k    | LEA25  | 29463-7 | 75.3 kg |   50 k |     0.73 |  0.017 | 137.7 k |
| 100k    | LEA25  | 29463-7 |  185 kg |  100 k |     1.07 |  0.029 |  93.7 k |
| 100k    | LEA36  | 29463-7 | 13.6 kg |   10 k |     0.12 |  0.008 | 842.7 k |
| 100k    | LEA36  | 29463-7 | 75.3 kg |   50 k |     0.33 |  0.011 | 306.0 k |
| 100k    | LEA36  | 29463-7 |  185 kg |  100 k |     0.46 |  0.007 | 219.4 k |
| 100k    | LEA47  | 29463-7 | 13.6 kg |   10 k |     0.07 |  0.005 |  1523 k |
| 100k    | LEA47  | 29463-7 | 75.3 kg |   50 k |     0.15 |  0.004 | 676.3 k |
| 100k    | LEA47  | 29463-7 |  185 kg |  100 k |     0.23 |  0.007 | 440.1 k |
| 100k    | LEA58  | 29463-7 | 13.6 kg |   10 k |     0.06 |  0.001 |  1583 k |
| 100k    | LEA58  | 29463-7 | 75.3 kg |   50 k |     0.12 |  0.005 | 869.4 k |
| 100k    | LEA58  | 29463-7 |  185 kg |  100 k |     0.16 |  0.003 | 609.1 k |
