| 1M      | LEA25  | 29463-7 | 13.6 kg |   99 k |     1.17 |  0.075 | 852.6 k |
| 1M      | LEA25  | 29463-7 | 75.3 kg |  500 k |     7.75 |  0.019 | 129.0 k |
| 1M      | LEA25  | 29463-7 |  185 kg |  998 k |    77.87 | 28.633 |  12.8 k |
| 1M      | LEA36  | 29463-7 | 13.6 kg |   99 k |     1.17 |  0.017 | 856.6 k |
| 1M      | LEA36  | 29463-7 | 75.3 kg |  500 k |     3.19 |  0.052 | 313.6 k |
| 1M      | LEA36  | 29463-7 |  185 kg |  998 k |    10.83 |  0.084 |  92.3 k |
| 1M      | LEA47  | 29463-7 | 13.6 kg |   99 k |     0.47 |  0.007 |  2147 k |
| 1M      | LEA47  | 29463-7 | 75.3 kg |  500 k |     0.73 |  0.004 |  1366 k |
| 1M      | LEA47  | 29463-7 |  185 kg |  998 k |     1.13 |  0.025 | 881.3 k |
| 1M      | LEA58  | 29463-7 | 13.6 kg |   99 k |     0.42 |  0.008 |  2371 k |
| 1M      | LEA58  | 29463-7 | 75.3 kg |  500 k |     0.50 |  0.020 |  2005 k |
| 1M      | LEA58  | 29463-7 |  185 kg |  998 k |     0.65 |  0.036 |  1545 k |
| 1M      | LEA79  | 29463-7 | 13.6 kg |   99 k |     0.35 |  0.011 |  2831 k |
| 1M      | LEA79  | 29463-7 | 75.3 kg |  500 k |     0.41 |  0.010 |  2422 k |
| 1M      | LEA79  | 29463-7 |  185 kg |  998 k |     0.47 |  0.014 |  2144 k |
| 1M      | A5N46  | 29463-7 | 13.6 kg |   99 k |     0.22 |  0.013 |  4464 k |
| 1M      | A5N46  | 29463-7 | 75.3 kg |  500 k |     0.37 |  0.020 |  2678 k |
| 1M      | A5N46  | 29463-7 |  185 kg |  998 k |     1.73 |  0.051 | 577.3 k |
