| 100k-fh | LEA25  | 788-0   |    2 k |     0.07 |  0.003 |  1513 k |
| 100k-fh | LEA25  | 44261-6 |   57 k |     0.24 |  0.007 | 425.2 k |
| 100k-fh | LEA25  | 72514-3 |  100 k |     0.35 |  0.007 | 282.3 k |
| 100k-fh | LEA36  | 788-0   |    2 k |     0.05 |  0.002 |  1913 k |
| 100k-fh | LEA36  | 44261-6 |   57 k |     0.13 |  0.003 | 756.3 k |
| 100k-fh | LEA36  | 72514-3 |  100 k |     0.21 |  0.006 | 487.2 k |
| 100k-fh | LEA47  | 788-0   |    2 k |     0.05 |  0.002 |  1981 k |
| 100k-fh | LEA47  | 44261-6 |   57 k |     0.07 |  0.001 |  1370 k |
| 100k-fh | LEA47  | 72514-3 |  100 k |     0.10 |  0.001 | 970.7 k |
| 100k-fh | LEA58  | 788-0   |    2 k |     0.05 |  0.002 |  1979 k |
| 100k-fh | LEA58  | 44261-6 |   57 k |     0.07 |  0.002 |  1367 k |
| 100k-fh | LEA58  | 72514-3 |  100 k |     0.09 |  0.001 |  1151 k |
