| 100k    | LEA25  | 17861-6 |    2 k |     0.08 |  0.005 |  1203 k |
| 100k    | LEA25  | 8310-5  |   60 k |     0.29 |  0.008 | 342.8 k |
| 100k    | LEA25  | 72514-3 |  100 k |     0.42 |  0.008 | 237.7 k |
| 100k    | LEA36  | 17861-6 |    2 k |     0.05 |  0.001 |  2000 k |
| 100k    | LEA36  | 8310-5  |   60 k |     0.15 |  0.003 | 667.8 k |
| 100k    | LEA36  | 72514-3 |  100 k |     0.23 |  0.005 | 442.2 k |
| 100k    | LEA47  | 17861-6 |    2 k |     0.05 |  0.002 |  1942 k |
| 100k    | LEA47  | 8310-5  |   60 k |     0.08 |  0.002 |  1210 k |
| 100k    | LEA47  | 72514-3 |  100 k |     0.13 |  0.002 | 794.3 k |
| 100k    | LEA58  | 17861-6 |    2 k |     0.05 |  0.002 |  1845 k |
| 100k    | LEA58  | 8310-5  |   60 k |     0.08 |  0.001 |  1315 k |
| 100k    | LEA58  | 72514-3 |  100 k |     0.09 |  0.002 |  1116 k |
