| 1M      | LEA25  | 17861-6 |   25 k |     8.04 |  0.059 | 124.3 k |
| 1M      | LEA25  | 8310-5  |  603 k |    11.40 |  0.043 |  87.7 k |
| 1M      | LEA25  | 72514-3 |  998 k |    13.16 |  0.049 |  76.0 k |
| 1M      | LEA36  | 17861-6 |   25 k |     3.90 |  0.009 | 256.1 k |
| 1M      | LEA36  | 8310-5  |  603 k |     5.74 |  0.023 | 174.2 k |
| 1M      | LEA36  | 72514-3 |  998 k |     6.68 |  0.036 | 149.6 k |
| 1M      | LEA47  | 17861-6 |   25 k |     0.59 |  0.003 |  1705 k |
| 1M      | LEA47  | 8310-5  |  603 k |     0.64 |  0.003 |  1557 k |
| 1M      | LEA47  | 72514-3 |  998 k |     0.76 |  0.006 |  1324 k |
| 1M      | LEA58  | 17861-6 |   25 k |     0.61 |  0.005 |  1633 k |
| 1M      | LEA58  | 8310-5  |  603 k |     0.67 |  0.005 |  1495 k |
| 1M      | LEA58  | 72514-3 |  998 k |     0.75 |  0.003 |  1336 k |
