"system","code","display","count"
"http://snomed.info/sct","234466008","Acquired coagulation disorder (disorder)",87
"http://snomed.info/sct","65275009","Acute Cholecystitis",243
"http://snomed.info/sct","241929008","Acute allergic reaction",1802
"http://snomed.info/sct","75498004","Acute bacterial sinusitis (disorder)",6464
"http://snomed.info/sct","10509002","Acute bronchitis (disorder)",54833
"http://snomed.info/sct","132281000119108","Acute deep venous thrombosis (disorder)",4566
"http://snomed.info/sct","706870000","Acute pulmonary embolism (disorder)",4577
"http://snomed.info/sct","67782005","Acute respiratory distress syndrome (disorder)",236
"http://snomed.info/sct","65710008","Acute respiratory failure (disorder)",5716
"http://snomed.info/sct","195662009","Acute viral pharyngitis (disorder)",66382
"http://snomed.info/sct","7200002","Alcoholism",478
"http://snomed.info/sct","300916003","Allergy to latex (finding)",16
"http://snomed.info/sct","26929004","Alzheimer's disease (disorder)",1379
"http://snomed.info/sct","271737000","Anemia (disorder)",30666
"http://snomed.info/sct","198992004","Antepartum eclampsia",2457
"http://snomed.info/sct","74400008","Appendicitis",5017
"http://snomed.info/sct","195967001","Asthma",184
"http://snomed.info/sct","225444004","At risk for suicide (finding)",10
"http://snomed.info/sct","24079001","Atopic dermatitis",2144
"http://snomed.info/sct","49436004","Atrial Fibrillation",3314
"http://snomed.info/sct","287185009","Attempted suicide - cut/stab",1
"http://snomed.info/sct","87628006","Bacterial infectious disease (disorder)",165
"http://snomed.info/sct","6072007","Bleeding from anus",143
"http://snomed.info/sct","35999006","Blighted ovum",1915
"http://snomed.info/sct","60951000119105","Blindness due to type 2 diabetes mellitus (disorder)",14
"http://snomed.info/sct","162864005","Body mass index 30+ - obesity (finding)",43724
"http://snomed.info/sct","408512008","Body mass index 40+ - severely obese (finding)",999
"http://snomed.info/sct","275272006","Brain damage - traumatic",669
"http://snomed.info/sct","262574004","Bullet wound",232
"http://snomed.info/sct","840539006","COVID-19",92398
"http://snomed.info/sct","92691004","Carcinoma in situ of prostate (disorder)",980
"http://snomed.info/sct","410429000","Cardiac Arrest",3445
"http://snomed.info/sct","128188000","Cerebral palsy (disorder)",391
"http://snomed.info/sct","373587001","Chiari malformation type II (disorder)",32
