"system","code","display","count"
"http://loinc.org","1742-6","ALT (Elevated)",244
"http://loinc.org","1920-8","AST (Elevated)",244
"http://loinc.org","28245-9","Abuse Status [OMAHA]",6289
"http://loinc.org","94040-3","Adenovirus A+B+C+D+E DNA [Presence] in Respiratory specimen by NAA with probe detection",6009
"http://loinc.org","1742-6","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma",288409
"http://loinc.org","1751-7","Albumin",244
"http://loinc.org","1751-7","Albumin [Mass/volume] in Serum or Plasma",288409
"http://loinc.org","6768-6","Alkaline Phosphatase",244
"http://loinc.org","6768-6","Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma",288409
"http://loinc.org","6095-4","American house dust mite IgE Ab in Serum",5554
"http://loinc.org","33037-3","Anion Gap",244
"http://loinc.org","5767-9","Appearance of Urine",800563
"http://loinc.org","63513-6","Are you covered by health insurance or some other kind of health care plan [PhenX]",6289
"http://loinc.org","1920-8","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma",288409
"http://loinc.org","704-7","Basophils [#/volume] in Blood by Automated count",19359
"http://loinc.org","706-2","Basophils/100 leukocytes in Blood by Automated count",19359
"http://loinc.org","1960-4","Bicarbonate [Moles/volume] in Arterial blood",6925
"http://loinc.org","1975-2","Bilirubin.total [Mass/volume] in Serum or Plasma",288409
"http://loinc.org","20505-4","Bilirubin.total [Mass/volume] in Urine by Test strip",800563
"http://loinc.org","5770-3","Bilirubin.total [Presence] in Urine by Test strip",800563
"http://loinc.org","85354-9","Blood Pressure",1622769
"http://loinc.org","8302-2","Body Height",1551916
"http://loinc.org","39156-5","Body Mass Index",1474551
"http://loinc.org","8310-5","Body Temperature",9633
"http://loinc.org","29463-7","Body Weight",1582370
"http://loinc.org","59576-9","Body mass index (BMI) [Percentile] Per age and gender",204352
"http://loinc.org","8310-5","Body temperature",105547
"http://loinc.org","1988-5","C reactive protein [Mass/volume] in Serum or Plasma",10313
"http://loinc.org","24467-3","CD3+CD4+ (T4 helper) cells [#/volume] in Blood",2322
"http://loinc.org","49765-1","Calcium",1791259
"http://loinc.org","17861-6","Calcium",244
"http://loinc.org","17861-6","Calcium [Mass/volume] in Serum or Plasma",21596
"http://loinc.org","44963-7","Capillary refill [Time] of Nail bed",526
"http://loinc.org","2028-9","Carbon Dioxide",244
"http://loinc.org","20565-8","Carbon Dioxide",1791259
"http://loinc.org","2019-8","Carbon dioxide [Partial pressure] in Arterial blood",6925
"http://loinc.org","2028-9","Carbon dioxide, total [Moles/volume] in Serum or Plasma",21596
"http://loinc.org","6833-8","Cat dander IgE Ab in Serum",5554
"http://loinc.org","2069-3","Chloride",1791259
"http://loinc.org","2075-0","Chloride",244
"http://loinc.org","2075-0","Chloride [Moles/volume] in Serum or Plasma",21596
"http://loinc.org","6075-6","Cladosporium herbarum IgE Ab in Serum",5554
"http://loinc.org","32167-9","Clarity of Urine",800563
"http://loinc.org","6082-2","Codfish IgE Ab in Serum",5554
"http://loinc.org","5778-6","Color of Urine",800563
"http://loinc.org","6085-5","Common Ragweed IgE Ab in Serum",5554
"http://loinc.org","7258-7","Cow milk IgE Ab in Serum",5554
"http://loinc.org","2157-6","Creatine kinase [Enzymatic activity/volume] in Serum or Plasma",10313
"http://loinc.org","2160-0","Creatinine",244
"http://loinc.org","38483-4","Creatinine",1791259
"http://loinc.org","2160-0","Creatinine [Mass/volume] in Serum or Plasma",21596
"http://loinc.org","99999-0","DSM-5 Clinical Diagnostic Criteria for Opioid Use Disorder",959
"http://loinc.org","38265-5","DXA [T-score] Bone density",14250
"http://loinc.org","21907-1","Distant metastases.clinical [Class] Cancer",644
"http://loinc.org","65750-2","Drugs of abuse 5 panel - Urine by Screen method",34226
"http://loinc.org","6106-9","Egg white IgE Ab in Serum",5554
"http://loinc.org","711-2","Eosinophils [#/volume] in Blood by Automated count",19359
"http://loinc.org","713-8","Eosinophils/100 leukocytes in Blood by Automated count",19359
"http://loinc.org","21000-5","Erythrocyte distribution width [Entitic volume] by Automated count",192077
"http://loinc.org","788-0","Erythrocyte distribution width [Ratio] by Automated count",21563
"http://loinc.org","789-8","Erythrocytes [#/volume] in Blood by Automated count",213640
"http://loinc.org","33914-3","Estimated Glomerular Filtration Rate",257286
"http://loinc.org","85337-4","Estrogen receptor Ag [Presence] in Breast cancer specimen by Immune stain",644
"http://loinc.org","417181009","Estrogen+Progesterone receptor Ag [Presence] in Tissue by Immune stain",37
"http://loinc.org","10480-2","Estrogen+Progesterone receptor Ag [Presence] in Tissue by Immune stain",346
"http://loinc.org","19926-5","FEV1/FVC",24242
"http://loinc.org","59461-4","Fall risk level [Morse Fall Scale]",572999
"http://loinc.org","59460-6","Fall risk total [Morse Fall Scale]",572999
"http://loinc.org","2276-4","Ferritin [Mass/volume] in Serum or Plasma",12550
"http://loinc.org","48065-7","Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma",10313
"http://loinc.org","88020-3","Functional capacity NYHA",675
"http://loinc.org","70274-6","Generalized anxiety disorder 7 item (GAD-7) total score [Reported.PHQ]",658612
"http://loinc.org","10834-0","Globulin",244
"http://loinc.org","10834-0","Globulin [Mass/volume] in Serum by calculation",266813
"http://loinc.org","33914-3","Glomerular filtration rate/1.73 sq M.predicted",970031
"http://loinc.org","2339-0","Glucose",1791259
"http://loinc.org","2345-7","Glucose",244
"http://loinc.org","2345-7","Glucose [Mass/volume] in Serum or Plasma",21596
"http://loinc.org","5792-7","Glucose [Mass/volume] in Urine by Test strip",800563
"http://loinc.org","25428-4","Glucose [Presence] in Urine by Test strip",800563
"http://loinc.org","88262-1","Gram positive blood culture panel by Probe in Positive blood culture",526
"http://loinc.org","85318-4","HER2 [Presence] in Breast cancer specimen by FISH",644
"http://loinc.org","85319-2","HER2 [Presence] in Breast cancer specimen by Immune stain",644
"http://loinc.org","7917-8","HIV 1 Ab [Presence] in Serum",69
"http://loinc.org","20447-9","HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection",2988
"http://loinc.org","55277-8","HIV status",6289
"http://loinc.org","9843-4","Head Occipital-frontal circumference",119221
"http://loinc.org","8289-1","Head Occipital-frontal circumference Percentile",119221
"http://loinc.org","8867-4","Heart rate",1576792
"http://loinc.org","20570-8","Hematocrit",244
"http://loinc.org","20570-8","Hematocrit [Volume Fraction] of Blood",8633
"http://loinc.org","4544-3","Hematocrit [Volume Fraction] of Blood by Automated count",213640
"http://loinc.org","718-7","Hemoglobin",244
"http://loinc.org","4548-4","Hemoglobin A1c/Hemoglobin.total in Blood",848937
"http://loinc.org","718-7","Hemoglobin [Mass/volume] in Blood",222273
"http://loinc.org","5794-3","Hemoglobin [Presence] in Urine by Test strip",800563
"http://loinc.org","57905-2","Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method",5724
"http://loinc.org","2085-9","High Density Lipoprotein Cholesterol",591659
"http://loinc.org","72092-0","Hip Dysfunction and Osteoarthritis Outcome Score [HOOS]",5
