| 1M      | LEA25  |    4 k |     0.54 |  0.041 |  1845 k |
| 1M      | LEA25  |  954 k |    10.93 |  0.068 |  91.5 k |
| 1M      | LEA36  |    4 k |     0.57 |  0.011 |  1766 k |
| 1M      | LEA36  |  954 k |     5.65 |  0.033 | 177.1 k |
| 1M      | LEA47  |    4 k |     0.41 |  0.007 |  2435 k |
| 1M      | LEA47  |  954 k |     0.83 |  0.009 |  1204 k |
| 1M      | LEA58  |    4 k |     0.41 |  0.006 |  2420 k |
| 1M      | LEA58  |  954 k |     0.53 |  0.015 |  1897 k |
| 1M      | LEA79  |    4 k |     0.28 |  0.004 |  3521 k |
| 1M      | LEA79  |  954 k |     0.41 |  0.016 |  2419 k |
| 1M      | A5N46  |    4 k |     0.20 |  0.010 |  5003 k |
| 1M      | A5N46  |  954 k |     0.41 |  0.002 |  2442 k |
