"value","count"
1.8,35
2,58
2.5,148
2.6,172
2.7,246
2.8,393
2.9,490
3,636
3.1,827
3.2,1104
3.3,1476
3.4,1859
3.5,2372
3.6,2843
3.7,3497
3.8,4265
3.9,5065
4,6012
4.1,6995
4.2,8045
4.3,8982
4.4,9954
4.5,10935
4.6,11748
4.7,12758
4.8,13530
4.9,14327
5,15193
5.1,15872
5.2,16718
5.3,17441
5.4,18090
5.5,18762
5.6,19358
5.7,19962
5.8,20698
5.9,21327
6,22061
6.1,22671
6.2,23363
6.3,23935
6.4,24770
6.5,25528
6.6,26325
6.7,27163
6.8,27910
6.9,28654
7,29370
7.1,30112
7.2,30855
7.3,31546
7.4,32279
7.5,33001
7.6,33765
7.7,34501
7.8,35307
7.9,36114
8,36925
8.1,37625
8.2,38409
8.3,39139
8.4,39968
8.5,40744
8.6,41548
8.7,42332
8.8,43270
8.9,44114
9,45038
9.1,46063
9.2,47079
9.3,48101
9.4,49006
9.5,50090
9.6,51053
9.7,52186
9.8,53142
9.9,54352
10,55391
10.1,56558
10.2,57768
10.3,58956
10.4,60070
10.5,61252
10.6,62362
10.7,63624
10.8,64804
10.9,66122
11,67294
11.1,68441
11.2,69742
11.3,71082
11.4,72236
11.5,73547
11.6,74792
11.7,76079
11.8,77239
11.9,78492
12,79704
12.1,81068
12.2,82345
12.3,83567
12.4,84734
12.5,85830
12.6,87125
12.7,88242
12.8,89480
12.9,90725
13,92024
13.1,93213
13.2,94416
13.3,95564
13.4,96820
13.5,97954
13.6,99068
13.7,100298
13.8,101492
13.9,102666
14,103731
14.1,104825
14.2,106023
14.3,107217
14.4,108320
14.5,109588
14.6,110770
14.7,111900
14.8,112897
14.9,113999
15,115000
15.1,115969
15.2,117039
15.3,118107
15.4,119161
15.5,120268
15.6,121264
15.7,122210
15.8,123333
15.9,124268
16,125237
16.1,126060
16.2,126917
16.3,127838
16.4,128755
16.5,129587
16.6,130454
16.7,131356
16.8,132092
16.9,132901
17,133649
17.1,134379
17.2,135176
17.3,135952
17.4,136729
17.5,137583
17.6,138325
17.7,138995
17.8,139722
17.9,140414
18,141095
18.1,141792
18.2,142422
18.3,143139
18.4,143747
18.5,144389
18.6,145007
18.7,145646
18.8,146252
18.9,146900
19,147482
19.1,148077
19.2,148720
19.3,149290
19.4,149900
19.5,150572
19.6,151145
19.7,151746
19.8,152291
19.9,152907
20,153478
20.1,153994
20.2,154519
20.3,155035
20.4,155608
20.5,156126
20.6,156696
20.7,157253
20.8,157767
20.9,158286
21,158774
21.1,159314
21.2,159824
21.3,160313
21.4,160825
21.5,161390
21.6,161881
21.7,162350
21.8,162854
21.9,163371
22,163855
22.1,164370
22.2,164857
22.3,165343
22.4,165847
22.5,166331
22.6,166857
22.7,167346
22.8,167868
22.9,168354
23,168818
23.1,169360
23.2,169868
23.3,170325
23.4,170822
23.5,171300
23.6,171761
23.7,172193
23.8,172621
23.9,173069
24,173523
24.1,173957
24.2,174407
24.3,174846
24.4,175322
24.5,175791
24.6,176237
24.7,176719
24.8,177173
24.9,177629
25,178077
25.1,178564
25.2,179023
25.3,179415
25.4,179843
25.5,180299
25.6,180771
25.7,181214
25.8,181619
25.9,182011
26,182461
26.1,182891
26.2,183314
26.3,183745
26.4,184198
26.5,184660
26.6,185055
26.7,185452
26.8,185864
26.9,186341
27,186758
27.1,187169
27.2,187560
27.3,187985
27.4,188382
27.5,188797
27.6,189228
27.7,189601
27.8,190051
27.9,190509
28,190961
28.1,191348
28.2,191725
28.3,192127
28.4,192528
28.5,192929
28.6,193344
28.7,193761
28.8,194191
28.9,194608
29,195034
29.1,195437
29.2,195848
29.3,196302
29.4,196678
29.5,197104
29.6,197532
