| 1M      | LEA47  | 8310-5  |  1.1 M |    21.44 |  0.260 |  54.0 k |
| 1M      | LEA47  | 55758-7 | 10.1 M |   322.95 | 37.205 |  31.4 k |
| 1M      | LEA47  | 72514-3 | 27.3 M |   828.67 |  0.968 |  33.0 k |
| 1M      | LEA58  | 8310-5  |  1.1 M |    20.70 |  0.320 |  56.0 k |
| 1M      | LEA58  | 55758-7 | 10.1 M |   171.60 |  4.241 |  59.1 k |
| 1M      | LEA58  | 72514-3 | 27.3 M |   497.29 | 26.969 |  55.0 k |
| 1M      | LEA79  | 8310-5  |  1.1 M |    26.85 |  0.052 |  43.2 k |
| 1M      | LEA79  | 55758-7 | 10.1 M |   233.25 |  0.202 |  43.5 k |
| 1M      | LEA79  | 72514-3 | 27.3 M |   632.51 |  0.728 |  43.2 k |
| 1M      | A5N46  | 8310-5  |  1.1 M |    10.55 |  0.034 | 109.8 k |
| 1M      | A5N46  | 55758-7 | 10.1 M |   121.64 |  0.312 |  83.3 k |
| 1M      | A5N46  | 72514-3 | 27.3 M |   294.11 |  0.523 |  93.0 k |
