timestamp,format,type,query,run,pages,entries,bytes,seconds
2026-06-02T20:38:54Z,xml,Encounter,_count=1000,1,59,58271,84348506,5.978
2026-06-02T20:39:00Z,xml,Encounter,_count=1000,2,59,58271,84348506,5.938
2026-06-02T20:39:06Z,xml,Encounter,_count=1000,3,59,58271,84348506,5.732
2026-06-02T20:39:12Z,xml,Encounter,_count=1000,4,59,58271,84348506,5.631
2026-06-02T20:39:17Z,xml,Encounter,_count=1000,5,59,58271,84348506,5.665
2026-06-02T20:48:24Z,json,Encounter,_count=1000,1,59,58271,68219526,3.892
2026-06-02T20:48:27Z,json,Encounter,_count=1000,2,59,58271,68219526,3.698
2026-06-02T20:48:31Z,json,Encounter,_count=1000,3,59,58271,68219526,3.580
2026-06-02T20:48:34Z,json,Encounter,_count=1000,4,59,58271,68219526,3.579
2026-06-02T20:48:38Z,json,Encounter,_count=1000,5,59,58271,68219526,3.559
